Title,Year,Certificate,Duration (min),Rating,Metascore,Director,Votes,Description,Review Count,Documentary,Adventure,Musical,History,War,Fantasy,Sci-Fi,Animation,Film-Noir,Western,Crime,Sport,Romance,Music,Mystery,Action,Biography,Drama,Comedy,Thriller,Family,Horror,HighlyRated
The Idea of You,2023.0,17,115,6,67,Michael Showalter,28744,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet.",166,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1
Kingdom of the Planet of the Apes,2023.0,13,145,7,66,Wes Ball,22248,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.",183,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Unfrosted,2023.0,13,97,6,42,Jerry Seinfeld,18401,"In 1963 Michigan, business rivals Kellogg's and Post compete to create a cake that could change breakfast forever.",333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
The Fall Guy,2023.0,13,126,7,73,David Leitch,38953,A down-and-out stuntman must find the missing star of his ex-girlfriend's blockbuster film.,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1
Challengers,2023.0,17,131,8,82,Luca Guadagnino,32517,"Tashi, a former tennis prodigy turned coach, turned her husband into a champion. But to overcome a losing streak, he needs to face his ex-best friend and Tashi's ex-boyfriend.",194,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
Abigail,2023.0,17,109,7,62,Matt Bettinelli-Olpin,27284,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl.",168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Civil War,2023.0,17,109,8,75,Alex Garland,64014,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House.",610,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Twisters,2023.0,15,105,6,58,Lee Isaac Chung,0,"An update to the 1996 film 'Twister', which centered on a pair of storm chasers who risk their lives in an attempt to test an experimental weather alert system.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
Anyone But You,2023.0,17,103,6,52,Will Gluck,82215,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults would do: pretend to be a couple.",373,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
The Ministry of Ungentlemanly Warfare,2023.0,17,120,7,57,Guy Ritchie,21084,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.,117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Dune: Part Two,2023.0,13,166,9,79,Denis Villeneuve,401659,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.,1741,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Furiosa: A Mad Max Saga,2023.0,17,148,8,83,George Miller,259,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Gojira -1.0,2023.0,13,124,8,81,Takashi Yamazaki,71109,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",526,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Ghostbusters: Frozen Empire,2023.0,13,115,6,46,Gil Kenan,39558,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age.",403,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Love Lies Bleeding,2023.0,17,104,7,77,Rose Glass,20636,"Gym manager Lou falls for Jackie, a bodybuilder who is passing through town en route to a competition in Las Vegas.",95,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
The Judge,2023.0,15,141,7,48,David Dobkin,204222,"Big-city lawyer Hank Palmer returns to his childhood home where his father, the town's judge, is suspected of murder. Hank sets out to discover the truth; along the way he reconnects with his estranged family.",338,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1
Mother of the Bride,2023.0,15,88,5,39,Mark Waters,5081,Lana's daughter Emma returns from London and announces that she's getting married next month. Things become more complicated when Lana learns that the man who stole Emma's heart is the son of the man who broke hers years ago.,70,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
IF,2023.0,10,104,7,58,John Krasinski,906,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Megalopolis,2023.0,15,133,6,58,Francis Ford Coppola,0,An architect wants to rebuild New York City as a utopia following a devastating disaster.,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Late Night with the Devil,2023.0,17,93,7,72,Cameron Cairnes,43902,"A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms.",278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Laapataa Ladies,2023.0,15,122,8,58,Kiran Rao,20957,"The misadventures of two young brides who get lost from the same train. From mistaken identities to laugh-out-aloud escapades, the ensuing chaos guarantees laughter galore and heartwarming moments.",209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
Deadpool & Wolverine,2023.0,15,105,6,58,Shawn Levy,0,"Wolverine is recovering from his injuries when he crosses paths with the loudmouth, Deadpool. They team up to defeat a common enemy.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
War for the Planet of the Apes,2023.0,15,140,7,82,Matt Reeves,288425,"After the apes suffer unimaginable losses, Caesar wrestles with his darker instincts and begins his own mythic quest to avenge his kind.",683,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
